# All 45 single-pair merges, ranked by mean macro-F1 gain, per arm.
#
# THIS IS THE CONTROL for taxonomy_merge.csv. Merging any two of ten classes
# raises macro-F1 for free. The hypothesis is that the proposed pairs are not
# merely above zero but above the REST OF THIS DISTRIBUTION.
#
# `hypothesised` names the scenario a pair belongs to, and is blank for the
# other 43.
#
# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: f54363b409c11652
# generated: 2026-09-24T08:57:27+00:00
arm,class_a,class_b,n_folds,macro_f1_mean,macro_f1_sd,gain_mean,hypothesised,within_family,rank_in_arm,protocol
yolo26n,severe_insufficient_liquid_supply,severe_vibration,15,0.51022,0.053319,-0.012855,,False,41,uniform
yolo26n,gas_influence_and_vibration,severe_insufficient_liquid_supply,15,0.509899,0.056469,-0.013176,,False,42,uniform
yolo26n,collide_pump_and_vibration,severe_insufficient_liquid_supply,15,0.509073,0.052776,-0.014002,,False,43,uniform
yolo26n,natural_flowing,severe_insufficient_liquid_supply,15,0.507694,0.056827,-0.015381,,False,44,uniform
yolo26n,full_load_production,severe_insufficient_liquid_supply,15,0.506846,0.052244,-0.016228,,False,45,uniform
yolo26s,natural_flowing,pump_leakage,15,0.54581,0.053968,0.041923,M2,True,1,uniform
yolo26s,severe_vibration,vibration,15,0.536772,0.049768,0.032884,M1,True,2,uniform
yolo26s,gas_influence,gas_influence_and_vibration,15,0.534775,0.041922,0.030888,,False,3,uniform
yolo26s,pump_leakage,severe_vibration,15,0.533356,0.051228,0.029469,,True,4,uniform
yolo26s,pump_leakage,vibration,15,0.53253,0.051643,0.028643,,True,5,uniform
yolo26s,natural_flowing,vibration,15,0.532234,0.04936,0.028347,,True,6,uniform
yolo26s,natural_flowing,severe_vibration,15,0.531819,0.053344,0.027931,,True,7,uniform
yolo26s,gas_influence,vibration,15,0.525477,0.049152,0.02159,,False,8,uniform
yolo26s,full_load_production,gas_influence,15,0.525342,0.047141,0.021455,,False,9,uniform
yolo26s,full_load_production,vibration,15,0.523956,0.04547,0.020069,,False,10,uniform
yolo26s,gas_influence_and_vibration,vibration,15,0.523325,0.049909,0.019438,,False,11,uniform
yolo26s,insufficient_liquid_supply_and_vibration,vibration,15,0.523129,0.050708,0.019242,,False,12,uniform
yolo26s,full_load_production,pump_leakage,15,0.522285,0.051796,0.018398,,False,13,uniform
yolo26s,gas_influence,pump_leakage,15,0.520546,0.048352,0.016659,,False,14,uniform
yolo26s,gas_influence,natural_flowing,15,0.516341,0.047617,0.012454,,False,15,uniform
yolo26s,insufficient_liquid_supply_and_vibration,pump_leakage,15,0.51514,0.051639,0.011253,,False,16,uniform
yolo26s,gas_influence_and_vibration,pump_leakage,15,0.515085,0.051233,0.011198,,False,17,uniform
